"Film_Adi_TR","Film_Adi_Yabanci","Film_Turu","Yonetmen","Vizyon_Tarihi","Seyirci_Sayisi","Toplam Hasılat","Yapimci","Oyuncular","IMDb","Gosterim_Hafta","Yapimci_Ulke"
"Hopper ve Çılgın Çetesi: Büyük Macera","Hopper et le hamster des ténèbres, Chickenhare and the Hamster of Darkness","Macera, Komedi, Animasyon","Ben Stassen, Benjamin Mousquet","5/27/2022","74,516","2,456,284","Ben Stassen, Caroline Van Iseghem, Matthieu Zeller","Thomas Solivérès, Chloé Jouannet, Nicolas Maury","6.3","21","Belçika, Fransa"
"Sil Baştan Kaynanam","","Komedi","Raşit Çelikezer","12/9/2022","77,505","2,990,897","Greenart Group","Alper Saldıran, Algı Eke, Zeynep Eronat","3.2","10","Türkiye"
"Cesur İtfaiyeci","Fireheart","Macera, Komedi, Animasyon","Theodore Ty, Laurent Zeitoun","4/22/2022","68,826","2,219,314"," Laurent Zeitoun, Yann Zenou, Valérie d'Auteuil","Alice Pol, Vincent Cassel, Valérie Lemercier","6.2","17","Fransa, Kanada"
"Zir-i Cin","","Korku, Gerilim","Emre Pala","7/1/2022","68,201","2,516,281","HM Productions","Defne Çoban, Ogan Şenyolcu, Mohamad Ahmad","4.5","6","Türkiye"
"Ejderham ve Ben","Dragon Rider","Macera, Animasyon, Aile, 3 Boyutlu","Tomer Eshed","5/13/2022","68,200","2,251,883","Oliver Berben, Christoph Müller, Martin Moszkowicz","Thomas Brodie-Sangster, Felicity Jones, Freddie Highmore","5.7","11","Almanya"
"Jujutsu Kaisen 0: The Movie","","Animasyon, Fantastik, Aksiyon","Seong-Hu Park","5/13/2022","65,710","2,479,597","Gege Akutami, Chinatsu Akasaki, Toshihiro Maeda","Megumi Ogata, Kana Hanazawa, Mikako Komatsu","7.8","6","Japonya"
"Efsane Takım: Bilim Kahramanları","","Animasyon","Suat Emuce","10/7/2022","63,788","2,214,635","Dukka Medya","Aydoğan Temel, Ercan Demirel, Fatih Özkul","7.2","14","Türkiye"
"Tamirhane","","Komedi","Erkan Kolçak Köstendil","11/11/2022","60,158","3,442,775","Sky Films","Nejat İşler, Rıza Kocaoğlu, Merve Dizdar","5.7","6","Türkiye"
"Neşeli Kanatlar: Büyük Göç","Duck Duck Goose","Animasyon","Christopher Jenkins","3/18/2022","59,831","1,590,933","Sandra Rabins, Penney Finkelman Cox, Harley Zhao","Jim Gaffigan, Zendaya, Lance Lim","5.7","20","ABD, Birleşik Krallık, Çin"
"Olmadı Kaçarız","","Komedi","Erkan Nurhan","2/18/2022","58,359","1,389,323","Medyacızade","Aykut Elmas, Halil İbrahim Göker, Ezgi Gizem","6.6","2","Türkiye"
"Elvis","","Dram, Biyografi, Müzik","Baz Luhrmann","6/24/2022","58,252","2,914,834","Baz Luhrmann, Catherine Martin, Gail Berman","Austin Butler, Tom Hanks, Olivia DeJonge","7.3","15","ABD"
"Asi Prenses","Pil, Pil's Adventures","Macera, Animasyon, Fantastik","Julien Fournet","6/17/2022","56,978","2,125,214","Jean-François Tosti, David Alaux, Éric Tosti","Kaycie Chase, Paul Borne, Julien Crampon","6.1","16","Fransa"
"The King's Man: Başlangıç","The King's Man","Macera, Komedi, Aksiyon","Matthew Vaughn","1/7/2022","56,639","1,672,259"," Matthew Vaughn, David Reid, Adam Bohlin","Ralph Fiennes, Harris Dickinson, Djimon Hounsou","6.3","5","ABD, Birleşik Krallık"
"Kayıp Şehir","The Lost City","Romantik-Komedi, Aksiyon","Aaron Nee, Adam Nee","3/25/2022","56,334","1,896,687","Sandra Bullock, Seth Gordon, Liza Chasin","Sandra Bullock, Channing Tatum, Daniel Radcliffe","6.1","4","ABD"
"Ayı Kardeşler: Macera Parkı","Xiong Chu Mo: Kuang Ye Da Lu, Boonie Bears: The Wild Life","Animasyon","Leon Ding","1/28/2022","56,195","1,343,956","Leon Ding","Chris Boike, Joseph S. Lambert, Siobhan Lumsden","4.5","23","Çin"
"Mahalleden Arkadaşlar","","Komedi","Selçuk Aydemir","11/4/2022","54,731","2,839,118","TR 40 33 Productions","Nurgül Yeşilçay, Alper Kul, Murat Akkoyunlu","3.2","9","Türkiye"
"Cennete Bilet","Ticket to Paradise","Romantik-Komedi","Ol Parker","9/16/2022","53,835","3,418,789"," Deborah Balderstone, Tim Bevan, Sarah Harvey","Julia Roberts, George Clooney, Kaitlyn Dever","6.2","10","ABD"
"The Menu","","Korku, Komedi","Mark Mylod","11/18/2022","54,536","4,333,286","Adam McKay, Will Ferrell, Betsy Koch","Anya Taylor-Joy, Ralph Fiennes, Nicholas Hoult","7.2","9","ABD"
"Kurtuluş Hattı","","Dram, Tarihi, Savaş","Selman Kayabaşı","5/13/2022","52,442","994,139","Yakın Plan","Hamdi Erdoğan, Gülsim Ali, Yusuf Aytekin","6.1","6","Türkiye"
"İlk Seans: NMSM","","Korku, Gerilim","Gökhan Murat Toktamışoğlu","3/11/2022","52,098","1,486,319","Hann Yapım","Eylül Ezgi Yılmaz","2.1","2","Türkiye"
"Karlar Kralı Norm 2","","Animasyon","Richard Finn, Tim Maltby","1/14/2022","51,953","1,212,357","Andrew Tight, Ken Katsumoto, Liz Young","Fatih Özacun, Uğur Taşdemir, Ali Çorapçı","3.4","19","ABD, Çin, Güney Kore, Hindistan"
"Kuzeyli","The Northman","Macera, Dram, Aksiyon","Robert Eggers","4/22/2022","51,920","2,055,860","Alexander Skarsgård, Robert Eggers, Lars Knudsen","Alexander Skarsgård, Anya Taylor-Joy, Claes Bang","7.1","7","ABD"
"Hazine","","Macera, Komedi, Aksiyon","Canbert Yerguz","11/4/2022","49,826","2,748,878","BKM","Çağlar Çorumlu, Boran Kuzum, Şükran Ovalı","6.2","4","Türkiye"
"Tim, Tim, Timsah","Lyle, Lyle, Crocodile","Macera, Animasyon","Josh Gordon, Will Speck","11/18/2022","48,436","2,896,663","Will Speck, Josh Gordon, Hutch Parker","Javier Bardem, Constance Wu, Winslow Fegley","6.1","8","ABD"
"Düşler Fabrikası","Drømmebyggerne, Dreambuilders","Macera, Komedi, Animasyon","Kim Hagen Jensen, Tonni Zinck","4/8/2022","47,231","1,464,221","Nynne Selin, Sunit Parekh","Emilie Koppel, Alberte Winding, Rasmus Botoft","6.0","12","Danimarka"
"Amsterdam","","Dram, Tarihi","David O. Russell","10/7/2022","46,503","3,067,218"," Christian Bale, David O. Russell, Matthew Budman","Christian Bale, Margot Robbie, John David Washington","6.1","5","ABD"
"Niloya","","Animasyon","Arkın Aktaç","11/11/2022","46,208","2,315,673","Anibera","Berrak Nehir KÖK, Berk Pamir, Zeynep Önen","3.2","7","Türkiye"
"Tam Kafadan Karavana","","Komedi","Oğuz Öztürk, Celal Öztürk","4/29/2022","44,267","1,395,983","Bros Film, Lokum Games","Ali Biçim, Mesut Can Tomay, Efekan Can","4.8","5","Türkiye"
"Nil'de Ölüm","Death on the Nile","Gerilim, Dram, Suç","Kenneth Branagh","2/11/2022","43,585","1,487,199","Kenneth Branagh, Ridley Scott, Judy Hofflund","Kenneth Branagh, Gal Gadot, Emma Mackey","6.3","5","ABD"
"Dert Etme Sevgilim","Don't Worry Darling","Korku, Gerilim","Olivia Wilde","9/23/2022","43,269","2,559,041","Olivia Wilde, Katie Silberman, Roy Lee","Florence Pugh, Harry Styles, Olivia Wilde","6.2","4","ABD"
"Ambulans","Ambulance","Gerilim, Dram, Aksiyon","Michael Bay","3/18/2022","42,560","1,385,973","Michael Bay, James Vanderbilt, Brad Fischer","Jake Gyllenhaal, Yahya Abdul-Mateen II, Eiza González","6.1","4","ABD"
"Cadılar Bayramı Sona Eriyor","Halloween Ends","Korku","David Gordon Green","10/14/2022","42,146","2,333,760","Jason Blum, Malek Akkad, Bill Block","Jamie Lee Curtis, Andi Matichak, Kyle Richards","5.0","4","ABD"
"Kocaayak ve Ailesi","Bigfoot Family","Macera, Animasyon, Aile","Ben Stassen, Jeremy Degruson","3/25/2022","42,459","1,209,677","Ben Stassen, Cal Brunker, Caroline Van Iseghem","Kylian Trouillard, Alexis Victor, Marieve Herington","5.8","18","Belçika, Fransa"
"Hayır","Nope","Korku","Jordan Peele","8/19/2022","41,877","2,183,390","Jordan Peele, Ian Cooper","Daniel Kaluuya, Keke Palmer, Steven Yeun","6.9","6","ABD"
"Masal Zamanı ""Melez Prenses""","","Komedi, Aile, Fantastik","Kubilay Güleçoğlu, Burak Kahraman","1/21/2022","40,555","953,119","Korsan Medya","Lavinya Ünlüer, Kaan Yılmaz, Ebrar Demirbilek","7.8","3","Türkiye"
"Şeytan Kapanı","Prey for the Devil","Korku, Gerilim","Daniel Stamm","10/28/2022","40,541","2,127,303","Earl Richey Jones, Todd R. Jones, Paul Brooks","Jacqueline Byers, Virginia Madsen, Colin Salmon","5.2","4","ABD"
"Laal Singh Chaddha","","Komedi, Dram, Savaş","Advait Chandan","8/12/2022","39,578","1,726,403","Aamir Khan; ‎Kiran Rao‎; Jyoti Deshpande","Aamir Khan, Kareena Kapoor, Naga Chaitanya Akkineni","5.5","8","Hindistan"
"Her Şey Her Yerde Aynı Anda","Everything Everywhere All at Once","Macera, Komedi, Bilim-Kurgu, Fantastik, Aksiyon","Dan Kwan, Daniel Scheinert","4/8/2022","39,057","1,499,757","Daniel Kwan, Daniel Scheinert, Joe Russo","Michelle Yeoh, Jamie Lee Curtis, Stephanie Hsu","8.0","25","ABD"
"Üç Bin Yıllık Bekleyiş","Three Thousand Years of Longing","Fantastik, Dram, Romantik","George Miller","9/16/2022","37,652","1,805,014","George Miller; Doug Mitchell","Tilda Swinton, Idris Elba, Pia Thunderbolt","6.7","4","ABD, Avustralya"
"Evdeki Düşman: Başlangıç","Orphan: First Kill","Korku, Gerilim","William Brent Bell","9/9/2022","36,740","1,923,125"," Entertainment One, Dark Castle Entertainment","Isabelle Fuhrman, Julia Stiles, Rossif Sutherland","5.9","8","ABD"
"Komutan","","Dram, Aksiyon","Selahattin Sancaklı, Mert Kılıç","10/7/2022","35,773","1,720,239","Kılıç Yapım","Mert Kılıç, Aslıhan Güner, Can Kızılıtuğ","5.5","5","Türkiye"
"Alem-i Cin 3: Salgın","","Korku","Gökhan Arı","8/26/2022","34,499","1,396,754","Matine Film","Dilara Ilgaz, Bulut Genç, Ulukan Ağdaş","2.4","5","Türkiye"
"Kendi Yolumda","","Komedi, Dram","Ömer Faruk Sorak","11/25/2022","34,597","2,086,622","Athena Yapım","Gökhan Özoğuz, Gökçe Bahadır, Ferit Aktuğ","5.9","6","Türkiye"
"Erzurumlu Mümessil","","Komedi","Servet Aksoy","5/6/2022","33,797","849,788","Boz Yapım","Burak Bozdağ, Dila Danışman, Burcu Binici","6.3","11","Türkiye"
"Ajan Kedi","","Macera, Animasyon, Aile","Christoph Lauenstein, Wolfgang Lauenstein","12/16/2022","39,020","2,348,194","Jan Bonath, Mark Mertens","Alexandra Neldel, Axel Prahl, Santiago Ziesmer","5.5","7","Almanya, Belçika"
"Kan Kokusu","Shark Bait","Gerilim","James Nunn","7/8/2022","32,078","1,251,784","Andrew Prendergast, Andy Mayson, Nadine Luque","Holly Earl, Jack Trueman, Catherine Hannay","4.4","17","Birleşik Krallık"
"Kabus Gecesi: Diriliş","Jeepers Creepers: Reborn","Korku, Gerilim","Timo Vuorensola","11/4/2022","31,887","1,614,151","Michael Ohoven, Jake Seal","Sydney Craven, Imran Adams, Jarreau Benjamin","2.5","11","ABD, Birleşik Krallık, Finlandiya"
"Ooops! Sevimli Tayfa","Ooops! The Adventure Continues","Animasyon","Sean Mccormack, Toby Genkel","8/19/2022","31,295","1,265,816"," Emely Christians, Christine Parisse, Moe Honan","Max Carolan, Ava Connolly, Dermot Magennis","5.8","11","İrlanda, Lüksemburg"
"Elif Ana","","Dram","Semir Aslanyürek, Kazım Öz","12/9/2022","42,787","2,303,133","Life Is A Movie","Aliye Uzunatağan, Hülya Diken, Necmettin Çobanoğlu","8.4","11","Türkiye"
"Davet","The Invitation","Korku, Gerilim","Jessica M. Thompson","9/2/2022","30,885","1,528,544","Emile Gladstone, Sam Raimi","Nathalie Emmanuel, Thomas Doherty, Hugh Skinner","5.3","5","ABD"
"YAKARI","Yakari le film","Animasyon","Toby Genkel, Xavier Giacometti","6/3/2022","28,918","977,886","Caroline Duvochel, Maia Tubiana","Aloïs Agaësse-Mahieu, Arielle Vaubien, Hannah Vaubien","6.3","10","Belçika, Fransa"
"Araf 5: Aile","","Korku","Uğur Kaplan","3/25/2022","28,610","785,627","DFGS, Kafa İşler","Almira Tuğgül Küçükoğlu, İrem İpek, Can Şuoruç","6.0","2","Türkiye"
"After: Mutluluk","After Ever Happy","Dram, Romantik","Castille Landon","8/26/2022","28,307","1,279,109","Jennifer Gibgot, Aron Levitz","Josephine Langford, Hero Fiennes Tiffin, Louise Lombard","4.5","13","ABD"
"İlgi Manyağı","Sick of Myself","Komedi","Kristoffer Borgli","11/4/2022","30,495","1,522,151","Andrea Berentsen Ottmar, Dyveke Bjørkly Graver","Kristine Kujath Thorp, Eirik Sæther, Fanny Vaager","7.2","15","İsveç, Norveç"
"Sihirbazlar Akademisi","The Academy of Magic","Animasyon","Jorgen Klubien, Cindy Robinson","7/22/2022","27,349","1,029,180","Allen Tsang","Laura Stahl, Michael Johnston, Ben Diskin","3.3","15","ABD"
"Hızlı Ayaklar - Olimpiyat Yolunda","","Animasyon","Çağrı Cem Bayraklı","9/30/2022","26,804","1,217,663","Minika","Çetin Altay, Harun Can","7.0","12","Türkiye"
"Kaos Yürüyüşü","Chaos Walking","Bilim-Kurgu, Aksiyon","Doug Liman","1/28/2022","26,586","758,486","Tom Holland, Daisy Ridley, Demian Bichir","Daisy Ridley, Tom Holland, Mads Mikkelsen","5.7","4","ABD"
"Soygun Oyunu: Büyük Vurgun","","Komedi, Polisiye","Ali Doğançay","2/18/2022","26,457","620,648","AD Yapım","Burak Sevinç, Sercan Badur, Selim Bayraktar","7.3","2","Türkiye"
"Aynasız Haluk","","Komedi","Bülent İşbilen","4/29/2022","26,269","894,023","Han Medya Yapım","Tolgahan Sayışman, Erdal Özyağcılar, Algı Eke","4.5","3","Türkiye"
"Ayı Kardeşler: Dünya'ya Dönüş","Xiong chu mo: Chong fan di qiu, Boonie Bears: Back to Earth","Komedi, Animasyon, Aile, 3 Boyutlu","Huida Lin","12/23/2022","43,968","2,634,556","Ziyan Huang, Tianfu Xu, Zhi Ying","Paul Rudd, Evangeline Lilly","5.9","6","Çin"
"Samsam","","Macera, Animasyon, Aile","Tanguy de Kermel","2/18/2022","25,551","673,868","Didier Brunner, Damien Brunner, Gaetan David","Jérémy Prevost, Sébastien Desjours, Damien Boisseau","5.0","10","Belçika, Fransa"
"Drive My Car","Doraibu Mai Kâ","Dram","Ryûsuke Hamaguchi","1/28/2022","25,532","678,430","Teruhisa Yamamoto","Hidetoshi Nishijima, Tôko Miura, Reika Kirishima","7.6","20","Japonya"
"Canavar","Beast","Gerilim","Baltasar Kormakur","9/2/2022","25,172","1,194,458","Baltasar Kormákur, James Lopez, William Packer","Idris Elba, Sharlto Copley, Leah Jeffries","5.6","4","ABD"
"Gulliver Dönüyor","Gulliver Returns","Macera, Animasyon, Aile","Ilya Maksimov","10/14/2022","24,896","1,307,525","Boris Shefir, Andrey Yakovlev, Oleg Khodachuk","Harun Can, Uğur Taşdemir, Begüm Günceler","4.3","9","Ukrayna"
"After Ayrılık","After We Fell","Dram, Romantik","Castille Landon","5/20/2022","24,720","908,692","Hero Fiennes-Tiffin, Brian Pitt, Courtney Solomon","Josephine Langford, Hero Fiennes Tiffin, Louise Lombard","4.7","11","ABD"
"Yanlış Anlama 2","","Komedi","Aykut Taşkın","9/30/2022","24,592","1,150,678","Bahadır Efe,Duygu Karaca,Hakan Bilgin","Cemal Hünal, Yılmaz Gruda, M. Fatih Özkan","4.7","4","Türkiye"
"One Piece Film: Red","","Macera,Animasyon,Aksiyon","Gorô Taniguchi","11/25/2022","24,475","1,559,363","Eiiçiro Oda","Mayumi Tanaka, Kazuya Nakai, Akemi Okamura","6.8","3","Japonya"
"Kaptan Sabertooth ve Minik Korsanlar Kayıp Elmas Peşinde","Kaptein Sabeltann og den magiske diamant","Macera,Animasyon","Marit Moum Aune, Rasmus A. Sivertsen"," 31.12.2022","23,524","339,465","Özen film"," Kyrre Haugen Sydness,Leonard Valestrand Eike,Jon Øigarden","5.8","21","Norveç"
"Koloni","Tides, The Colony","Gerilim, Bilim-Kurgu","Tim Fehlbaum","1/21/2022","23,261","627,276","Thomas Wobke,Ruth Waldburger,Philipp Trauer","Nora Arnezeder, Iain Glen, Sarah-Sofie Boussnina","5.4","10","Almanya, İsviçre"
"Tavşan Okulu: Çılgın Yumurtalar","Die Häschenschule - Der große Eierklau, Rabbit Academy: Mission Eggpossible","Macera, Komedi, Animasyon","Ute von Münchow-Pohl","9/9/2022","23,627","1,033,984","Dirk Beinhold","Friedrich Von Thun,Senta Berger,Jule Böwe","5.5","12","Almanya"
"Süper Yetenek 2","Rock Dog 2","Macera, Komedi, Animasyon","Mark Baldo","5/19/2022","23,216","729,509","Andrew Tight, Ken Katsumoto, Liz Young"," Andrew Francis , Brain Dabson, Sabrina Pitre","5.0","12","ABD,Çin"
"Cânn","","Korku","Eren Ergin","9/16/2022","21,902","939,013","Cihangir Yapım","Alihan Demirbilek, Sahra Yalçın, Ekrem Türker","4.9","6","Türkiye"
"İkiz","The Twin","Korku","Taneli Mustonen","4/29/2022","21,891","806,327"," Aleksi Hyvärinen , Joris van Wijk ","eresa Palmer, Steven Cree, Barbara Marten","5.1","3","Filandiya"
"Korku Evi","Behind You","Korku","Matthew Whedon, Andrew Mecham","8/12/2022","21,545","902,957"," Larissa beck, Jesse ranney","Addy Miller, Elizabeth Birkner, Jan Broberg","4.2","6","ABD"
"Korku Takvimi","","Korku","Yunus Şevik","5/13/2022","21,243","691,524","Dras Film Pictures","Nevin Efe, Melisa Seda, Zafer Kora","5.8","9","Türkiye"
"Kadın Kral","The Woman King","Dram, Tarihi","Gina Prince-Bythewood","10/14/2022","20,742","1,257,394","Viola Davis,Julius Tennon,Cathy Schulman","Viola Davis, John Boyega, Thuso Mbedu","6.8","4","ABD"
"Cesur Balık Sihirli Dünyada","Magic Arch","Animasyon, 3 Boyutlu","Vasiliy Rovenskiy","5/19/2022","20,710","676,909"," Roman Borisevich,maxim rogalsky, vasiliy rovenskiy"," Stephen Thomas Ochsner,Daniil Medvedev,Liza Klimova","4.2","9","Rusya"
"Semur 3: Kıyamet-i Cin","","Korku","Burak Çelik","6/3/2022","20,124","545,795","BMS Film","Gizem Tan, Zülfü Hamit Altın, Volkan Başaran","4.0","5","Türkiye"
"Acil İniş","Emergency Declaration","Gerilim, Dram, Aksiyon, IMAX","Jae-rim Han","11/20/1953","19,683","997,816","Han Suk-kyu , Kim Do-soo , Zoo-Young Eum","Lee Byung-hun, Kang-ho Song, Jeon Do-yeon","6.9","6","Güney Kore"
"Cumali Ceber 666","","Komedi","Fuat Kurtoğlu","1/21/2022","19,660","468,401","2506","Halil Söyletmez, Doğa Konakoğlu, Deniz Deliç","1.0","2","Türkiye"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
